customer_id,age,monthly_income,emi,credit_card_due,emi_to_income_ratio,credit_utilization,missed_payments,salary_delay,job_loss,avg_balance,balance_drop_ratio,atm_withdrawals,spending_change,bill_delay_count,account_tenure
CUST000049,36,61784,14978,9145,0.24,0.17,1,0,0,160087,0.0,5,0.03,2,29
CUST000050,58,105323,27517,22820,0.26,0.3,0,1,0,155299,0.0,1,0.09,2,71
CUST000051,21,40433,13711,7136,0.34,0.63,1,0,0,21406,0.37,14,-0.05,3,10
CUST000052,23,131619,21020,21446,0.16,0.24,1,0,0,187736,0.03,6,0.11,0,111
CUST000053,36,172248,41624,11986,0.24,0.39,0,0,0,323130,0.06,2,-0.02,0,36
CUST000054,29,194695,55626,39915,0.29,0.46,0,0,0,472349,0.25,3,0.13,0,93
CUST000055,36,168987,28805,20015,0.17,0.34,0,0,0,414078,0.06,7,0.06,1,101
CUST000056,33,50409,20529,6595,0.41,0.74,3,1,0,64836,0.25,5,-0.21,2,13
CUST000057,43,132767,48057,43441,0.36,0.62,2,0,0,48661,0.36,6,-0.03,3,55
CUST000058,24,216299,42479,23766,0.2,0.35,1,0,0,511332,0.21,5,0.03,0,87
CUST000059,27,70772,27450,34280,0.39,0.91,3,1,0,13780,0.47,17,-0.13,5,8
CUST000060,27,75224,26586,14707,0.35,0.74,5,1,0,78596,0.43,6,0.03,0,32
CUST000061,49,155593,44942,21337,0.29,0.25,0,0,0,236472,0.07,5,-0.2,0,18
CUST000062,50,64761,14878,6222,0.23,0.19,0,0,0,129042,0.11,2,-0.16,0,32
CUST000063,56,58261,14196,9407,0.24,0.2,0,0,0,185688,0.12,3,-0.04,0,13
CUST000064,55,28868,11300,8196,0.39,0.69,1,1,0,25631,0.48,3,-0.02,4,108
CUST000065,36,71269,38648,17805,0.54,0.78,5,1,0,6016,0.57,14,-0.2,2,22
CUST000066,34,150130,18116,23366,0.12,0.57,2,0,0,359774,0.16,4,0.06,0,111
CUST000067,31,18282,7952,4921,0.43,0.77,4,0,0,11323,0.5,9,-0.2,3,49
CUST000068,37,77638,25962,36480,0.33,0.81,3,1,0,37676,0.55,12,0.06,3,119
CUST000069,56,172577,36028,28846,0.21,0.38,0,0,0,376840,0.09,3,-0.06,0,85
CUST000070,39,60331,13311,9233,0.22,0.46,0,0,0,119792,0.03,4,0.1,0,28
CUST000071,55,127209,37005,12052,0.29,0.39,0,1,0,290237,0.07,6,0.05,1,8
CUST000072,58,176819,39874,7315,0.23,0.37,0,0,0,235732,0.18,6,-0.08,2,62
CUST000073,54,25455,10219,14865,0.4,0.99,2,1,0,15376,0.25,11,0.22,5,21
CUST000074,26,42356,26617,13984,0.63,0.9,1,0,0,4882,0.54,10,-0.12,1,109
CUST000075,25,106657,17150,6394,0.16,0.2,0,0,0,230723,0.06,2,-0.12,1,87
CUST000076,57,196760,36972,23994,0.19,0.37,1,0,0,548891,0.11,6,-0.0,1,32
CUST000077,60,134897,45591,51243,0.34,0.7,0,0,0,192714,0.2,6,0.3,3,11
CUST000078,57,107934,25585,18221,0.24,0.64,2,0,0,85959,0.4,6,0.14,2,67
CUST000079,34,111872,47553,57354,0.43,0.72,0,1,0,41740,0.36,14,-0.43,5,86
CUST000080,37,79308,18776,9597,0.24,0.25,0,1,0,114569,0.04,6,0.05,0,51
CUST000081,40,107883,49307,33082,0.46,0.63,0,0,0,111175,0.35,5,0.04,1,59
CUST000082,25,78068,31632,23787,0.41,0.68,5,1,0,16095,0.52,10,-0.06,3,2
CUST000083,57,44204,12247,11241,0.28,0.77,1,1,0,52059,0.08,3,-0.05,5,13
CUST000084,53,79722,8277,18291,0.1,0.25,0,0,0,157206,0.21,1,0.16,1,34
CUST000085,25,50018,25252,9578,0.5,0.81,1,0,0,29556,0.44,16,-0.15,1,113
CUST000086,31,187401,14992,5622,0.08,0.44,0,0,0,328718,0.02,3,-0.14,0,57
CUST000087,60,27050,8555,3270,0.32,0.66,0,0,0,14061,0.3,7,-0.24,4,104
CUST000088,56,52154,24913,13414,0.48,0.58,1,1,1,47974,0.28,9,0.11,2,39
CUST000089,29,33129,17018,8918,0.51,0.79,0,1,0,15599,0.53,8,0.05,4,34
CUST000090,56,53697,22113,23239,0.41,0.93,4,1,0,16332,0.59,13,-0.07,1,20
CUST000091,34,134884,31561,20079,0.23,0.36,1,0,0,330150,0.14,3,0.02,0,92
CUST000092,37,173065,33943,24543,0.2,0.29,0,0,0,397316,0.12,9,0.07,0,65
CUST000093,24,211273,47197,38111,0.22,0.32,0,0,0,607167,0.13,6,0.11,0,12
CUST000094,38,45929,10118,4749,0.22,0.18,0,0,0,129426,0.19,4,-0.0,1,6
CUST000095,29,113670,25077,3904,0.22,0.33,1,0,0,141971,0.04,7,-0.0,1,82
CUST000096,49,157115,19357,34368,0.12,0.48,0,0,0,329277,0.06,6,0.06,0,71
CUST000097,28,84073,25903,14952,0.31,0.25,0,0,0,252897,0.07,2,-0.05,0,10
CUST000098,44,189841,30053,35364,0.16,0.55,0,0,0,338549,0.07,4,0.15,0,75
CUST000099,29,125808,12238,30990,0.1,0.35,0,1,0,262119,0.09,2,0.18,2,6
CUST000100,23,138797,48063,11999,0.35,0.28,0,0,0,210162,0.15,2,0.16,0,116
CUST000101,36,71946,18335,13888,0.25,0.3,1,0,0,64751,0.06,2,0.04,1,86
CUST000102,56,151529,42667,20890,0.28,0.3,1,0,0,360617,0.0,5,-0.01,1,114
CUST000103,30,49029,16105,5883,0.33,0.96,1,1,0,11130,0.51,12,-0.04,3,119
CUST000104,32,72040,38444,18958,0.53,0.93,2,1,0,45323,0.41,9,-0.06,3,113
CUST000105,42,152928,19692,16196,0.13,0.34,1,0,0,441301,0.16,4,0.03,0,101
CUST000106,36,66732,14249,18944,0.21,0.63,2,1,0,44423,0.4,8,0.06,2,35
CUST000107,27,35151,18454,10464,0.52,0.48,3,0,0,25242,0.27,6,0.12,3,49
CUST000108,35,78332,40505,19407,0.52,0.87,3,1,0,27375,0.55,7,-0.07,4,26
CUST000109,35,51203,17566,6373,0.34,0.29,0,0,0,116229,0.1,4,0.05,1,29
CUST000110,46,98034,39893,24010,0.41,0.55,2,0,0,106712,0.4,13,-0.3,1,43
CUST000111,38,102080,48104,28115,0.47,0.75,3,1,0,49111,0.55,10,-0.29,3,45
CUST000112,55,52235,8684,12674,0.17,0.34,0,0,0,139477,0.0,2,0.12,0,43
CUST000113,37,197198,43913,19468,0.22,0.31,0,0,0,199954,0.04,6,0.06,2,23
CUST000114,37,32208,20529,11295,0.64,0.8,4,1,1,26808,0.45,13,-0.6,2,5
CUST000115,43,107228,37696,21852,0.35,0.59,0,0,0,147928,0.27,5,-0.43,0,94
CUST000116,53,145976,38480,7178,0.26,0.6,0,0,0,244503,0.04,6,0.07,0,15
CUST000117,33,23817,7375,6384,0.31,0.68,5,0,0,1190,0.62,7,-0.0,1,33
CUST000118,21,76651,26299,19828,0.34,0.49,0,1,0,45967,0.42,6,-0.37,3,67
CUST000119,25,131559,29952,13124,0.23,0.31,0,0,0,355255,0.11,7,-0.06,0,86
CUST000120,28,103727,48896,24592,0.47,0.58,2,1,0,105526,0.4,6,0.14,2,93
CUST000121,47,150486,19730,21126,0.13,0.48,0,0,0,365345,0.01,5,-0.02,1,42
CUST000122,56,75289,24475,6541,0.33,0.6,0,0,0,89227,0.26,12,0.23,0,17
CUST000123,45,90620,22005,15372,0.24,0.19,1,0,0,193624,0.04,2,-0.02,0,87
CUST000124,40,25106,10969,8030,0.44,0.39,2,0,0,19258,0.24,10,-0.08,5,52
CUST000125,34,197039,43600,35213,0.22,0.19,1,1,0,475390,0.04,7,-0.03,0,56
CUST000126,41,140811,56950,19661,0.4,0.62,3,0,0,92924,0.28,8,0.12,0,60
CUST000127,34,169042,31463,23422,0.19,0.43,0,0,0,271795,0.14,7,0.11,3,66
CUST000128,31,47228,10804,9126,0.23,0.41,0,0,0,44560,0.29,5,0.05,2,85
CUST000129,60,69480,11126,13911,0.16,0.24,1,0,0,146240,0.0,5,0.03,1,43
CUST000130,36,106374,56909,36133,0.53,0.46,1,0,0,75754,0.33,5,-0.15,4,87
CUST000131,33,51402,11823,5690,0.23,0.33,0,0,0,130417,0.16,2,-0.05,0,19
CUST000132,51,64091,19350,5833,0.3,0.25,1,0,0,154673,0.1,3,0.24,1,79
CUST000133,57,145657,35453,25646,0.24,0.34,0,0,0,305925,0.11,2,0.01,0,25
CUST000134,36,216981,27975,51236,0.13,0.08,0,0,0,582065,0.07,6,0.19,0,19
CUST000135,27,136449,41021,21735,0.3,0.56,1,0,0,63604,0.25,4,0.05,2,100
CUST000136,54,58164,12489,8813,0.21,0.08,0,0,0,113849,0.14,7,0.04,0,60
CUST000137,28,79954,23879,14441,0.3,0.24,0,0,0,200055,0.17,3,-0.1,0,59
CUST000138,54,108177,19471,24294,0.18,0.5,0,0,0,93971,0.27,9,0.24,1,72
CUST000139,49,112276,69405,61634,0.62,0.9,4,1,0,30277,0.44,8,-0.15,4,79
CUST000140,48,89810,29568,34686,0.33,0.86,0,1,0,11885,0.34,16,-0.23,4,107
CUST000141,31,169433,62978,27335,0.37,0.17,1,0,0,506684,0.09,4,-0.08,4,96
CUST000142,36,212159,44147,26557,0.21,0.33,1,0,0,712818,0.16,3,-0.01,1,108
CUST000143,54,209298,42888,38478,0.2,0.25,1,0,0,287428,0.2,7,-0.02,1,63
CUST000144,49,119901,27697,14695,0.23,0.22,0,0,0,307853,0.07,6,0.11,0,10
CUST000145,42,186597,61348,28350,0.33,0.28,0,0,0,167937,0.16,1,-0.0,1,41
CUST000146,30,145410,37889,16106,0.26,0.38,1,0,0,335694,0.11,2,0.15,0,30
CUST000147,34,133755,40921,43912,0.31,0.61,1,1,0,215160,0.36,13,-0.27,1,9
CUST000148,55,153992,36337,46197,0.24,0.23,1,0,0,507773,0.15,3,-0.11,1,60
CUST000149,47,198112,53979,36994,0.27,0.31,0,0,0,468277,0.12,5,0.09,0,50
CUST000150,22,118348,63408,40827,0.54,0.99,1,0,0,60371,0.33,14,-0.25,3,110
CUST000151,51,137211,31626,25876,0.23,0.25,0,0,0,319145,0.03,3,0.01,1,1
CUST000152,45,154843,28575,20269,0.18,0.42,2,0,0,261510,0.0,4,0.08,1,110
CUST000153,55,203139,36716,22003,0.18,0.44,0,0,0,390725,0.14,5,0.02,0,103
CUST000154,52,53774,23622,12884,0.44,0.67,3,0,0,13662,0.34,9,-0.31,4,29
CUST000155,22,133114,32547,26732,0.24,0.34,0,0,0,374575,0.11,3,-0.04,1,50
CUST000156,46,68265,15974,16726,0.23,0.72,2,0,0,81933,0.27,6,-0.01,0,93
CUST000157,29,32069,14429,11561,0.45,0.57,1,0,0,51706,0.19,6,-0.09,0,80
CUST000158,58,104900,37845,40413,0.36,0.91,3,0,0,51759,0.62,13,-0.24,2,73
CUST000159,48,166031,21911,37721,0.13,0.35,0,0,0,325666,0.09,6,-0.02,0,18
CUST000160,37,130813,17829,3924,0.14,0.41,0,0,0,276699,0.06,1,0.13,2,49
CUST000161,41,144385,33068,23159,0.23,0.25,1,1,0,371679,0.08,1,0.01,1,44
CUST000162,47,66471,17943,1994,0.27,0.45,0,0,0,143014,0.25,7,0.16,0,33
CUST000163,55,136740,29250,25246,0.21,0.23,0,0,0,202072,0.13,4,0.1,2,7
CUST000164,25,215853,51340,35826,0.24,0.54,0,0,0,767579,0.08,2,0.08,0,100
CUST000165,22,97261,12990,19010,0.13,0.26,0,0,0,223378,0.19,4,-0.19,1,32
CUST000166,60,87533,24411,14096,0.28,0.62,1,0,0,157559,0.38,5,-0.1,1,20
CUST000167,28,102138,33960,13910,0.33,0.45,0,0,0,165461,0.13,5,0.08,0,73
CUST000168,37,141703,44866,15656,0.32,0.28,0,0,0,399609,0.13,2,0.04,1,99
CUST000169,59,75024,7400,5382,0.1,0.4,0,0,0,186878,0.06,3,-0.18,0,96
CUST000170,31,53337,18341,12403,0.34,0.61,1,1,0,87113,0.34,13,-0.21,5,40
CUST000171,40,143384,24470,33144,0.17,0.25,0,0,0,223011,0.1,1,0.13,0,74
CUST000172,33,200214,53207,36453,0.27,0.45,0,0,0,298721,0.11,2,0.1,0,10
CUST000173,36,104058,24758,30106,0.24,0.68,2,1,0,91943,0.19,3,0.2,0,14
CUST000174,59,33866,14772,9490,0.44,0.85,7,1,0,21628,0.57,7,-0.34,1,104
CUST000175,57,35766,7691,11474,0.22,0.69,0,0,0,43596,0.33,15,0.14,3,101
CUST000176,48,142142,26798,23085,0.19,0.34,0,0,0,195644,0.24,4,0.04,0,85
CUST000177,42,155115,31358,26730,0.2,0.55,0,0,0,171737,0.14,7,0.17,0,2
CUST000178,27,119945,44630,37857,0.37,0.7,0,0,0,130573,0.2,12,-0.09,0,56
CUST000179,50,65105,23262,13865,0.36,0.66,1,1,0,26317,0.22,5,-0.09,4,91
CUST000180,54,115800,21667,18519,0.19,0.46,0,0,0,216818,0.2,1,-0.07,0,84
CUST000181,55,151745,65325,12139,0.43,0.56,1,0,0,88763,0.31,6,0.3,2,100
CUST000182,58,129490,34694,26176,0.27,0.53,1,0,0,238951,0.08,4,0.12,0,35
CUST000183,26,77087,35667,29309,0.46,0.95,2,1,0,19994,0.36,12,-0.05,4,36
CUST000184,50,204994,28615,31086,0.14,0.36,0,0,0,575589,0.02,3,0.06,1,73
CUST000185,42,154579,49079,30386,0.32,0.67,0,1,0,103911,0.35,7,0.16,2,4
CUST000186,32,45802,23781,23472,0.52,0.82,2,1,0,2290,0.48,12,-0.6,6,63
CUST000187,37,118310,24830,25487,0.21,0.36,0,0,0,216506,0.06,3,0.07,0,44
CUST000188,38,19330,8436,6448,0.44,0.88,4,0,0,7441,0.48,15,0.08,0,72
CUST000189,33,108270,25597,21903,0.24,0.36,0,1,0,291761,0.12,3,0.09,1,11
CUST000190,52,87999,24017,25413,0.27,0.46,0,0,0,86298,0.36,4,-0.09,3,72
CUST000191,52,29520,6732,6768,0.23,0.61,3,0,0,42156,0.19,9,0.25,2,58
CUST000192,35,108780,27703,19896,0.25,0.26,0,0,0,210338,0.0,2,0.24,0,52
CUST000193,58,169062,48969,16776,0.29,0.48,0,1,0,370135,0.13,3,0.09,2,48
CUST000194,43,189281,49143,23073,0.26,0.58,0,0,0,412197,0.1,1,0.09,0,55
CUST000195,50,125379,15492,3761,0.12,0.3,0,0,0,148999,0.13,4,0.08,0,35
CUST000196,28,95484,18945,9596,0.2,0.4,1,0,0,85935,0.13,4,0.02,0,93
CUST000197,55,93535,24482,19514,0.26,0.21,0,1,0,84181,0.03,4,0.02,0,98
CUST000198,51,199556,51531,23751,0.26,0.38,0,0,0,373922,0.03,3,-0.14,0,36
CUST000199,54,55093,20385,21778,0.37,0.81,3,0,0,30826,0.49,14,0.15,6,77
CUST000200,33,47816,24548,12947,0.51,0.82,3,1,1,33058,0.45,9,-0.2,4,38
CUST000201,40,185020,59495,32257,0.32,0.19,0,0,0,244987,0.22,3,0.15,1,2
CUST000202,23,190059,49708,30535,0.26,0.11,0,0,0,269959,0.13,2,0.07,0,7
CUST000203,29,173680,35403,24639,0.2,0.27,0,0,0,345718,0.11,1,-0.01,0,82
CUST000204,21,119537,21831,14805,0.18,0.45,0,0,0,337829,0.17,4,-0.06,1,74
CUST000205,49,93329,17605,10967,0.19,0.41,1,0,0,83996,0.16,1,0.0,0,44
CUST000206,37,80616,31129,24056,0.39,0.68,3,1,0,32456,0.37,14,-0.53,1,111
CUST000207,25,173908,28485,12434,0.16,0.4,2,0,0,511438,0.0,6,-0.01,0,52
CUST000208,24,84111,17127,14515,0.2,0.31,3,1,0,223468,0.08,5,-0.14,1,20
CUST000209,40,90061,43010,18736,0.48,0.65,0,0,0,37842,0.21,11,0.09,3,11
CUST000210,47,201271,35932,27706,0.18,0.42,0,0,0,516785,0.18,2,0.07,1,78
CUST000211,35,124713,40727,31183,0.33,0.37,0,0,0,90968,0.17,8,0.28,0,100
CUST000212,49,199278,48572,19383,0.24,0.23,0,0,0,313137,0.03,8,0.14,0,39
CUST000213,40,99399,60501,36546,0.61,0.98,4,1,0,34992,0.4,11,-0.12,1,73
CUST000214,27,99470,13843,12206,0.14,0.24,2,0,0,171422,0.11,4,-0.04,0,98
CUST000215,37,46282,21913,16900,0.47,0.35,2,1,1,58350,0.42,9,0.15,1,85
CUST000216,32,64677,12795,5546,0.2,0.12,0,0,0,143432,0.25,2,-0.02,0,71
CUST000217,47,200664,24395,26299,0.12,0.36,0,0,0,256951,0.02,7,0.12,0,58
CUST000218,23,120524,31962,9795,0.27,0.55,0,0,0,268866,0.03,6,0.16,0,30
CUST000219,50,86190,30421,17808,0.35,0.65,1,0,0,155142,0.19,11,-0.1,3,10
CUST000220,58,43928,13632,12458,0.31,0.99,1,1,0,27194,0.66,17,0.06,2,85
CUST000221,55,214773,37126,34155,0.17,0.34,0,0,0,605979,0.09,4,0.03,0,29
CUST000222,38,82286,18661,14145,0.23,0.23,1,0,0,302822,0.14,1,-0.04,1,106
CUST000223,31,125638,30539,13144,0.24,0.39,1,0,0,273763,0.06,3,0.12,1,102
CUST000224,57,100657,34349,29627,0.34,0.71,0,0,0,149993,0.32,12,0.19,3,118
CUST000225,50,124715,15201,32822,0.12,0.35,0,0,0,112243,0.06,2,-0.01,0,89
CUST000226,38,154445,69052,22095,0.45,0.56,0,0,0,163920,0.48,5,0.28,0,65
CUST000227,59,158253,31836,23399,0.2,0.35,0,1,0,362636,0.09,2,0.03,0,6
CUST000228,59,31780,10592,7402,0.33,0.49,0,0,0,28142,0.25,7,-0.07,3,33
CUST000229,57,50438,13352,6876,0.26,0.27,0,0,0,115693,0.04,6,-0.09,1,76
CUST000230,38,23273,12567,5192,0.54,0.79,5,1,0,15505,0.27,11,0.04,2,74
CUST000231,32,140927,25366,51765,0.18,0.55,1,0,0,174816,0.36,7,-0.21,2,61
CUST000232,32,75132,28463,19859,0.38,0.84,3,1,0,34703,0.53,8,-0.16,3,75
CUST000233,52,148210,27390,15297,0.18,0.75,0,0,0,175317,0.32,10,0.13,0,12
CUST000234,42,72420,8768,15277,0.12,0.55,0,0,0,210173,0.0,3,0.05,0,42
CUST000235,42,108921,52201,48818,0.48,0.94,6,1,0,30457,0.65,9,-0.18,3,53
CUST000236,46,189204,25642,27021,0.14,0.28,1,1,0,172755,0.09,4,0.08,2,105
CUST000237,26,111164,40335,14345,0.36,0.22,0,0,0,200299,0.14,7,-0.02,0,41
CUST000238,46,179898,28910,18545,0.16,0.33,1,0,0,484630,0.06,7,0.08,0,111
CUST000239,21,146104,51090,32620,0.35,0.65,2,1,0,163433,0.4,8,0.1,1,85
CUST000240,33,139838,19000,24680,0.14,0.36,0,0,0,323983,0.13,5,0.08,0,67
CUST000241,52,140878,48226,21094,0.34,0.5,3,1,0,73412,0.23,4,0.18,2,81
CUST000242,34,59344,10681,6896,0.18,0.72,1,1,0,77966,0.4,10,0.25,2,35
CUST000243,49,109521,53635,34078,0.49,0.84,0,0,0,48944,0.51,8,-0.04,2,113
CUST000244,22,204612,45342,23074,0.22,0.42,0,0,0,416611,0.2,1,0.12,0,81
CUST000245,31,28584,8977,5963,0.31,0.74,3,0,0,14366,0.32,5,-0.35,5,40
CUST000246,26,74743,14442,9064,0.19,0.45,0,0,0,124569,0.12,5,-0.09,0,29
CUST000247,28,85362,13321,13079,0.16,0.2,1,0,0,168867,0.13,3,-0.01,1,83
CUST000248,39,116676,39657,19930,0.34,0.34,1,1,0,182519,0.03,3,-0.06,0,66
CUST000249,51,108892,25309,17937,0.23,0.09,0,0,0,219908,0.04,2,0.05,0,61
CUST000250,30,94967,25547,18206,0.27,0.31,0,0,0,215327,0.05,2,0.16,1,50
CUST000251,53,35892,13102,17245,0.37,0.73,2,1,0,8709,0.4,13,-0.38,2,96
CUST000252,38,72387,31941,14597,0.44,0.89,1,1,0,22530,0.37,5,0.05,3,99
CUST000253,53,45672,8790,9123,0.19,0.3,0,0,0,99744,0.13,4,0.02,0,35
CUST000254,40,198862,26385,25498,0.13,0.35,0,0,0,234732,0.05,5,0.16,0,108
CUST000255,52,83953,21082,15332,0.25,0.35,1,0,0,246492,0.15,6,0.01,0,111
CUST000256,51,132147,34365,11801,0.26,0.38,0,0,0,357547,0.05,4,0.17,1,45
CUST000257,55,164365,20556,11300,0.13,0.32,1,1,0,419395,0.1,3,0.13,0,49
CUST000258,33,49300,25051,5916,0.51,0.96,5,1,0,15408,0.44,16,-0.33,2,90
CUST000259,35,152682,30711,19181,0.2,0.44,1,0,0,312117,0.02,4,0.01,0,110
CUST000260,51,144937,44666,7279,0.31,0.35,1,0,0,431160,0.06,4,0.08,1,91
CUST000261,30,54704,12876,4947,0.24,0.34,0,0,0,110713,0.25,4,-0.07,1,64
CUST000262,58,71309,12605,8989,0.18,0.56,0,0,0,175285,0.18,1,-0.05,2,43
CUST000263,49,86937,42853,31285,0.49,0.81,2,0,0,21099,0.43,8,-0.05,3,13
CUST000264,21,36894,17786,16292,0.48,0.78,1,0,0,17358,0.45,7,-0.34,4,93
CUST000265,30,168074,26136,26552,0.16,0.45,0,0,0,190002,0.14,3,0.02,1,10
CUST000266,37,129197,56148,40662,0.43,0.56,0,0,0,140515,0.28,10,0.01,0,44
CUST000267,42,124617,40912,27549,0.33,0.52,2,0,0,111966,0.12,6,-0.09,1,110
CUST000268,52,88912,39944,42860,0.45,0.99,0,1,0,19760,0.55,11,-0.16,3,112
CUST000269,25,210455,46732,40653,0.22,0.36,1,0,0,612559,0.15,2,0.12,0,31
CUST000270,39,48692,17285,5622,0.35,0.64,1,1,0,28952,0.23,7,0.2,2,30
CUST000271,27,211133,50328,45670,0.24,0.25,0,0,0,578972,0.05,1,0.21,1,98
CUST000272,27,68611,24091,14532,0.35,0.56,3,1,0,81255,0.33,7,-0.08,3,57
CUST000273,22,110032,33891,24489,0.31,0.62,0,1,0,179868,0.26,9,-0.1,2,6
CUST000274,39,123262,47119,33414,0.38,0.55,0,0,0,140337,0.24,5,0.0,0,46
CUST000275,36,153016,48947,6993,0.32,0.08,2,0,0,259287,0.0,4,0.1,2,68
CUST000276,32,90893,15854,15769,0.17,0.35,0,0,0,193356,0.06,6,0.01,0,22
CUST000277,45,108132,38923,17861,0.36,0.27,0,0,1,348324,0.0,5,0.12,0,80
CUST000278,58,105866,26398,5019,0.25,0.33,1,0,0,223919,0.04,6,-0.15,0,19
CUST000279,37,111932,27031,9611,0.24,0.59,0,0,0,100738,0.17,3,0.06,1,59
CUST000280,50,100400,33083,16427,0.33,0.68,0,1,1,52659,0.32,5,-0.42,3,116
CUST000281,31,140796,27913,48772,0.2,0.6,2,0,0,133943,0.42,6,0.12,2,10
CUST000282,58,101746,45354,21973,0.45,0.81,1,0,0,32014,0.4,11,-0.32,3,39
CUST000283,37,57599,29914,18610,0.52,0.83,1,0,0,20081,0.48,10,-0.16,3,59
