customer_id,window_end_day,sequence_risk_score,sequence_window_count
CUST000279,47,0.1862,29
CUST000280,47,0.4124,29
CUST000281,47,0.1671,29
CUST000282,47,0.3004,29
CUST000283,47,0.2409,29
CUST000284,47,0.1048,29
CUST000285,47,0.1119,29
CUST000286,47,0.1393,29
CUST000287,47,0.1119,29
CUST000288,47,0.3208,29
CUST000289,47,0.2924,29
CUST000290,47,0.1061,29
CUST000291,47,0.2643,29
CUST000292,47,0.2851,29
CUST000293,47,0.1214,29
CUST000294,47,0.2298,29
CUST000295,47,0.1128,29
CUST000296,47,0.3992,29
CUST000297,47,0.3039,29
CUST000298,47,0.4216,29
CUST000299,47,0.148,29
CUST000300,47,0.3675,29
CUST000301,47,0.3246,29
CUST000302,47,0.1744,29
CUST000303,47,0.1384,29
CUST000304,47,0.4046,29
CUST000305,47,0.0973,29
CUST000306,47,0.0744,29
CUST000307,47,0.1088,29
CUST000308,47,0.408,29
CUST000309,47,0.247,29
CUST000310,47,0.2461,29
CUST000311,47,0.1279,29
CUST000312,47,0.2618,29
CUST000313,47,0.1678,29
CUST000314,47,0.36,29
CUST000315,47,0.3637,29
CUST000316,47,0.3093,29
CUST000317,47,0.0949,29
CUST000318,47,0.1108,29
CUST000319,47,0.1046,29
CUST000320,47,0.2649,29
CUST000321,47,0.1068,29
CUST000322,47,0.0935,29
CUST000323,47,0.1327,29
CUST000324,47,0.1682,29
CUST000325,47,0.2457,29
CUST000326,47,0.0847,29
CUST000327,47,0.2104,29
CUST000328,47,0.181,29
CUST000329,47,0.115,29
CUST000330,47,0.253,29
CUST000331,47,0.1026,29
CUST000332,47,0.0919,29
CUST000333,47,0.1494,29
CUST000334,47,0.4508,29
CUST000335,47,0.2637,29
CUST000336,47,0.1102,29
CUST000337,47,0.1174,29
CUST000338,47,0.1085,29
CUST000339,47,0.1386,29
CUST000340,47,0.1165,29
CUST000341,47,0.3591,29
CUST000342,47,0.0937,29
CUST000343,47,0.1536,29
CUST000344,47,0.1183,29
CUST000345,47,0.1254,29
CUST000346,47,0.0904,29
CUST000347,47,0.1136,29
CUST000348,47,0.0582,29
CUST000349,47,0.1126,29
CUST000350,47,0.4378,29
CUST000351,47,0.0945,29
CUST000352,47,0.1201,29
CUST000353,47,0.1112,29
CUST000354,47,0.1177,29
CUST000355,47,0.2681,29
CUST000356,47,0.1647,29
CUST000357,47,0.2123,29
CUST000358,47,0.1354,29
CUST000359,47,0.1154,29
CUST000360,47,0.0974,29
CUST000361,47,0.2978,29
CUST000362,47,0.1094,29
CUST000363,47,0.109,29
CUST000364,47,0.1623,29
CUST000365,47,0.1768,29
CUST000366,47,0.091,29
CUST000367,47,0.0832,29
CUST000368,47,0.1237,29
CUST000369,47,0.4423,29
CUST000370,47,0.1048,29
CUST000371,47,0.2177,29
CUST000372,47,0.1668,29
CUST000373,47,0.166,29
CUST000374,47,0.0682,29
CUST000375,47,0.3047,29
CUST000376,47,0.3556,29
CUST000377,47,0.1198,29
CUST000378,47,0.0851,29
CUST000379,47,0.2285,29
CUST000380,47,0.2542,29
CUST000381,47,0.0893,29
CUST000382,47,0.2922,29
CUST000383,47,0.1205,29
CUST000384,47,0.225,29
CUST000385,47,0.1021,29
CUST000386,47,0.1214,29
CUST000387,47,0.1693,29
CUST000388,47,0.1396,29
CUST000389,47,0.1632,29
CUST000390,47,0.2028,29
CUST000391,47,0.079,29
CUST000392,47,0.2484,29
CUST000393,47,0.0937,29
CUST000394,47,0.1013,29
CUST000395,47,0.2051,29
CUST000396,47,0.1272,29
CUST000397,47,0.0625,29
CUST000398,47,0.2739,29
CUST000399,47,0.0952,29
CUST000400,47,0.468,29
CUST000401,47,0.2795,29
CUST000402,47,0.1074,29
CUST000403,47,0.1428,29
CUST000404,47,0.1089,29
CUST000405,47,0.3986,29
CUST000406,47,0.113,29
CUST000407,47,0.1711,29
CUST000408,47,0.1036,29
CUST000409,47,0.09,29
CUST000410,47,0.0528,29
CUST000411,47,0.1204,29
CUST000412,47,0.1623,29
CUST000413,47,0.1213,29
CUST000414,47,0.2236,29
CUST000415,47,0.118,29
CUST000416,47,0.0854,29
CUST000417,47,0.1024,29
CUST000418,47,0.1123,29
CUST000419,47,0.3752,29
CUST000420,47,0.2481,29
CUST000421,47,0.1047,29
CUST000422,47,0.432,29
CUST000423,47,0.12,29
CUST000424,47,0.3992,29
CUST000425,47,0.2641,29
CUST000426,47,0.1128,29
CUST000427,47,0.106,29
CUST000428,47,0.1813,29
CUST000429,47,0.2192,29
CUST000430,47,0.1073,29
CUST000431,47,0.1654,29
CUST000432,47,0.241,29
CUST000433,47,0.1154,29
CUST000434,47,0.4594,29
CUST000435,47,0.127,29
CUST000436,47,0.5708,29
CUST000437,47,0.1497,29
CUST000438,47,0.2639,29
CUST000439,47,0.1012,29
CUST000440,47,0.2241,29
CUST000441,47,0.1094,29
CUST000442,47,0.3819,29
CUST000443,47,0.2348,29
CUST000444,47,0.3573,29
CUST000445,47,0.1653,29
CUST000446,47,0.0692,29
CUST000447,47,0.3603,29
CUST000448,47,0.1682,29
CUST000449,47,0.2062,29
CUST000450,47,0.0916,29
CUST000451,47,0.0971,29
CUST000452,47,0.1739,29
CUST000453,47,0.3093,29
CUST000454,47,0.148,29
CUST000455,47,0.1415,29
CUST000456,47,0.1688,29
CUST000457,47,0.1001,29
CUST000458,47,0.1571,29
CUST000459,47,0.0893,29
CUST000460,47,0.1116,29
CUST000461,47,0.1977,29
CUST000462,47,0.2487,29
CUST000463,47,0.4167,29
CUST000464,47,0.1191,29
CUST000465,47,0.1097,29
CUST000466,47,0.2359,29
CUST000467,47,0.0933,29
CUST000468,47,0.0832,29
CUST000469,47,0.4798,29
CUST000470,47,0.1044,29
CUST000471,47,0.105,29
CUST000472,47,0.1066,29
CUST000473,47,0.1137,29
CUST000474,47,0.1021,29
CUST000475,47,0.1148,29
CUST000476,47,0.0787,29
CUST000477,47,0.2349,29
CUST000478,47,0.1527,29
CUST000479,47,0.4008,29
CUST000480,47,0.534,29
CUST000481,47,0.0828,29
CUST000482,47,0.2324,29
CUST000483,47,0.0494,29
CUST000484,47,0.3018,29
CUST000485,47,0.0834,29
CUST000486,47,0.0904,29
CUST000487,47,0.118,29
CUST000488,47,0.2722,29
CUST000489,47,0.1614,29
CUST000490,47,0.1048,29
CUST000491,47,0.4081,29
CUST000492,47,0.2269,29
CUST000493,47,0.1927,29
CUST000494,47,0.265,29
CUST000495,47,0.2981,29
CUST000496,47,0.0974,29
CUST000497,47,0.0931,29
CUST000498,47,0.253,29
CUST000499,47,0.0952,29
CUST000500,47,0.1233,29
CUST000501,47,0.2146,29
CUST000502,47,0.4094,29
CUST000503,47,0.1177,29
CUST000504,47,0.3993,29
CUST000505,47,0.4073,29
CUST000506,47,0.0932,29
CUST000507,47,0.1057,29
CUST000508,47,0.2768,29
CUST000509,47,0.2095,29
CUST000510,47,0.1927,29
CUST000511,47,0.1116,29
CUST000512,47,0.0904,29
CUST000513,47,0.0912,29
CUST000514,47,0.0617,29
CUST000515,47,0.2226,29
CUST000516,47,0.1691,29
CUST000517,47,0.1659,29
CUST000518,47,0.1698,29
CUST000519,47,0.0986,29
CUST000520,47,0.1007,29
CUST000521,47,0.1727,29
CUST000522,47,0.1706,29
CUST000523,47,0.2289,29
CUST000524,47,0.1153,29
CUST000525,47,0.1216,29
CUST000526,47,0.2474,29
CUST000527,47,0.0959,29
CUST000528,47,0.4176,29
CUST000529,47,0.0995,29
CUST000530,47,0.3483,29
CUST000531,47,0.3083,29
CUST000532,47,0.1195,29
CUST000533,47,0.0924,29
CUST000534,47,0.1682,29
CUST000535,47,0.4059,29
CUST000536,47,0.3052,29
CUST000537,47,0.1183,29
CUST000538,47,0.1195,29
CUST000539,47,0.105,29
CUST000540,47,0.1718,29
CUST000541,47,0.1028,29
CUST000542,47,0.1253,29
CUST000543,47,0.1061,29
CUST000544,47,0.1681,29
CUST000545,47,0.0973,29
CUST000546,47,0.0623,29
CUST000547,47,0.0995,29
CUST000548,47,0.4457,29
CUST000549,47,0.1022,29
CUST000550,47,0.115,29
CUST000551,47,0.4131,29
CUST000552,47,0.3187,29
CUST000553,47,0.144,29
CUST000554,47,0.1682,29
CUST000555,47,0.353,29
CUST000556,47,0.1048,29
CUST000557,47,0.2952,29
CUST000558,47,0.2684,29
CUST000559,47,0.2855,29
CUST000560,47,0.3014,29
CUST000561,47,0.1116,29
CUST000562,47,0.146,29
CUST000563,47,0.093,29
CUST000564,47,0.0842,29
CUST000565,47,0.0932,29
CUST000566,47,0.1204,29
CUST000567,47,0.2795,29
CUST000568,47,0.1057,29
CUST000569,47,0.1517,29
CUST000570,47,0.372,29
CUST000571,47,0.0977,29
CUST000572,47,0.2967,29
CUST000573,47,0.2533,29
CUST000574,47,0.1385,29
CUST000575,47,0.0884,29
CUST000576,47,0.1186,29
CUST000577,47,0.0902,29
CUST000578,47,0.1099,29
CUST000579,47,0.0618,29
CUST000580,47,0.1051,29
CUST000581,47,0.1736,29
CUST000582,47,0.1216,29
CUST000583,47,0.1193,29
CUST000584,47,0.2126,29
CUST000585,47,0.1137,29
CUST000586,47,0.1433,29
CUST000587,47,0.2436,29
CUST000588,47,0.4149,29
CUST000589,47,0.3332,29
CUST000590,47,0.1171,29
CUST000591,47,0.1024,29
CUST000592,47,0.147,29
CUST000593,47,0.3951,29
CUST000594,47,0.1176,29
CUST000595,47,0.1145,29
CUST000596,47,0.1195,29
CUST000597,47,0.2381,29
CUST000598,47,0.0916,29
CUST000599,47,0.1167,29
CUST000600,47,0.2214,29
CUST000601,47,0.0921,29
CUST000602,47,0.2862,29
CUST000603,47,0.1559,29
CUST000604,47,0.0987,29
CUST000605,47,0.1293,29
CUST000606,47,0.375,29
CUST000607,47,0.2681,29
CUST000608,47,0.1141,29
CUST000609,47,0.1395,29
CUST000610,47,0.5066,29
CUST000611,47,0.1346,29
CUST000612,47,0.1536,29
CUST000613,47,0.352,29
CUST000614,47,0.1175,29
CUST000615,47,0.1395,29
CUST000616,47,0.2485,29
CUST000617,47,0.105,29
CUST000618,47,0.1165,29
CUST000619,47,0.439,29
CUST000620,47,0.1584,29
CUST000621,47,0.4064,29
CUST000622,47,0.1523,29
CUST000623,47,0.1365,29
CUST000624,47,0.1087,29
CUST000625,47,0.109,29
CUST000626,47,0.3581,29
CUST000627,47,0.0609,29
CUST000628,47,0.1379,29
CUST000629,47,0.0945,29
CUST000630,47,0.1181,29
CUST000631,47,0.2632,29
CUST000632,47,0.0973,29
CUST000633,47,0.1154,29
CUST000634,47,0.0977,29
CUST000635,47,0.0996,29
CUST000636,47,0.09,29
CUST000637,47,0.1384,29
CUST000638,47,0.1696,29
CUST000639,47,0.1696,29
CUST000640,47,0.0976,29
CUST000641,47,0.4888,29
CUST000642,47,0.1087,29
CUST000643,47,0.1375,29
CUST000644,47,0.0952,29
CUST000645,47,0.4074,29
CUST000646,47,0.1061,29
CUST000647,47,0.176,29
CUST000648,47,0.2353,29
CUST000649,47,0.1711,29
CUST000650,47,0.1229,29
CUST000651,47,0.2671,29
CUST000652,47,0.1761,29
CUST000653,47,0.1178,29
CUST000654,47,0.1186,29
CUST000655,47,0.1639,29
CUST000656,47,0.1572,29
CUST000657,47,0.0667,29
CUST000658,47,0.1224,29
CUST000659,47,0.1169,29
CUST000660,47,0.1143,29
CUST000661,47,0.2128,29
CUST000662,47,0.102,29
CUST000663,47,0.107,29
CUST000664,47,0.1709,29
CUST000665,47,0.167,29
CUST000666,47,0.4154,29
CUST000667,47,0.0921,29
CUST000668,47,0.4189,29
CUST000669,47,0.129,29
CUST000670,47,0.6763,29
CUST000671,47,0.107,29
CUST000672,47,0.2225,29
CUST000673,47,0.1327,29
CUST000674,47,0.0822,29
CUST000675,47,0.2278,29
CUST000676,47,0.4049,29
CUST000677,47,0.113,29
CUST000678,47,0.0573,29
CUST000679,47,0.1734,29
CUST000680,47,0.1299,29
CUST000681,47,0.1109,29
CUST000682,47,0.3563,29
CUST000683,47,0.088,29
CUST000684,47,0.1225,29
CUST000685,47,0.2246,29
CUST000686,47,0.0884,29
CUST000687,47,0.2878,29
CUST000688,47,0.1646,29
CUST000689,47,0.4261,29
CUST000690,47,0.3039,29
CUST000691,47,0.1423,29
CUST000692,47,0.406,29
CUST000693,47,0.1097,29
CUST000694,47,0.1668,29
CUST000695,47,0.1334,29
CUST000696,47,0.1287,29
CUST000697,47,0.1054,29
CUST000698,47,0.1066,29
CUST000699,47,0.1702,29
CUST000700,47,0.2397,29
CUST000701,47,0.1242,29
CUST000702,47,0.0827,29
CUST000703,47,0.2239,29
CUST000704,47,0.1009,29
CUST000705,47,0.3827,29
CUST000706,47,0.1903,29
CUST000707,47,0.1017,29
CUST000708,47,0.2689,29
CUST000709,47,0.102,29
CUST000710,47,0.0626,29
CUST000711,47,0.1192,29
CUST000712,47,0.0849,29
CUST000713,47,0.2081,29
CUST000714,47,0.1089,29
CUST000715,47,0.2293,29
CUST000716,47,0.0931,29
CUST000717,47,0.1061,29
CUST000718,47,0.1152,29
CUST000719,47,0.1253,29
CUST000720,47,0.3051,29
CUST000721,47,0.106,29
CUST000722,47,0.0423,29
CUST000723,47,0.1034,29
CUST000724,47,0.1155,29
CUST000725,47,0.1296,29
CUST000726,47,0.1077,29
CUST000727,47,0.2865,29
CUST000728,47,0.1177,29
CUST000729,47,0.1307,29
CUST000730,47,0.2349,29
CUST000731,47,0.1327,29
CUST000732,47,0.2607,29
CUST000733,47,0.2419,29
CUST000734,47,0.0712,29
CUST000735,47,0.1533,29
CUST000736,47,0.368,29
CUST000737,47,0.1058,29
CUST000738,47,0.0865,29
CUST000739,47,0.2709,29
CUST000740,47,0.3061,29
CUST000741,47,0.1096,29
CUST000742,47,0.2884,29
CUST000743,47,0.1679,29
CUST000744,47,0.1272,29
CUST000745,47,0.1153,29
CUST000746,47,0.4545,29
CUST000747,47,0.0893,29
CUST000748,47,0.1017,29
CUST000749,47,0.0999,29
CUST000750,47,0.1068,29
CUST000751,47,0.2622,29
CUST000752,47,0.0972,29
CUST000753,47,0.1443,29
CUST000754,47,0.1209,29
CUST000755,47,0.0971,29
CUST000756,47,0.1763,29
CUST000757,47,0.1016,29
CUST000758,47,0.1129,29
CUST000759,47,0.223,29
CUST000760,47,0.1632,29
CUST000761,47,0.122,29
CUST000762,47,0.1683,29
CUST000763,47,0.2679,29
CUST000764,47,0.1092,29
CUST000765,47,0.1704,29
CUST000766,47,0.3365,29
CUST000767,47,0.101,29
CUST000768,47,0.1066,29
CUST000769,47,0.0963,29
CUST000770,47,0.2759,29
CUST000771,47,0.1203,29
CUST000772,47,0.1763,29
CUST000773,47,0.2397,29
CUST000774,47,0.2834,29
CUST000775,47,0.098,29
CUST000776,47,0.1164,29
CUST000777,47,0.0998,29
CUST000778,47,0.1742,29
CUST000779,47,0.1591,29
CUST000780,47,0.1527,29
CUST000781,47,0.1104,29
CUST000782,47,0.1584,29
CUST000783,47,0.1701,29
CUST000784,47,0.4529,29
CUST000785,47,0.1423,29
CUST000786,47,0.1352,29
CUST000787,47,0.165,29
CUST000788,47,0.2632,29
CUST000789,47,0.1195,29
CUST000790,47,0.2856,29
CUST000791,47,0.0757,29
CUST000792,47,0.0982,29
CUST000793,47,0.1065,29
CUST000794,47,0.0994,29
CUST000795,47,0.2208,29
CUST000796,47,0.1839,29
CUST000797,47,0.2282,29
CUST000798,47,0.1131,29
CUST000799,47,0.1531,29
CUST000800,47,0.0775,29
CUST000801,47,0.1909,29
CUST000802,47,0.1137,29
CUST000803,47,0.1697,29
CUST000804,47,0.1406,29
CUST000805,47,0.1702,29
CUST000806,47,0.2263,29
CUST000807,47,0.1073,29
CUST000808,47,0.2533,29
CUST000809,47,0.2495,29
CUST000810,47,0.228,29
CUST000811,47,0.1128,29
CUST000812,47,0.46,29
CUST000813,47,0.1057,29
CUST000814,47,0.1879,29
CUST000815,47,0.1736,29
CUST000816,47,0.2779,29
CUST000817,47,0.1057,29
CUST000818,47,0.3575,29
CUST000819,47,0.1684,29
CUST000820,47,0.0872,29
CUST000821,47,0.1242,29
CUST000822,47,0.1193,29
CUST000823,47,0.4224,29
CUST000824,47,0.1384,29
CUST000825,47,0.2605,29
CUST000826,47,0.1758,29
CUST000827,47,0.3028,29
CUST000828,47,0.1211,29
CUST000829,47,0.1676,29
CUST000830,47,0.1249,29
CUST000831,47,0.1947,29
CUST000832,47,0.1809,29
CUST000833,47,0.1531,29
CUST000834,47,0.3884,29
CUST000835,47,0.2451,29
CUST000836,47,0.1074,29
CUST000837,47,0.1424,29
CUST000838,47,0.1358,29
CUST000839,47,0.1068,29
CUST000840,47,0.2179,29
CUST000841,47,0.098,29
CUST000842,47,0.2269,29
CUST000843,47,0.2525,29
CUST000844,47,0.1121,29
CUST000845,47,0.121,29
CUST000846,47,0.331,29
CUST000847,47,0.3671,29
CUST000848,47,0.1026,29
CUST000849,47,0.2197,29
CUST000850,47,0.2278,29
CUST000851,47,0.2986,29
CUST000852,47,0.1242,29
CUST000853,47,0.117,29
CUST000854,47,0.3846,29
CUST000855,47,0.1176,29
CUST000856,47,0.3994,29
CUST000857,47,0.1202,29
CUST000858,47,0.2364,29
CUST000859,47,0.0727,29
CUST000860,47,0.2881,29
CUST000861,47,0.2705,29
CUST000862,47,0.0938,29
CUST000863,47,0.0969,29
CUST000864,47,0.2777,29
CUST000865,47,0.0967,29
CUST000866,47,0.115,29
CUST000867,47,0.1851,29
CUST000868,47,0.0931,29
CUST000869,47,0.1522,29
CUST000870,47,0.1644,29
CUST000871,47,0.1179,29
CUST000872,47,0.097,29
CUST000873,47,0.0916,29
CUST000874,47,0.4322,29
CUST000875,47,0.1554,29
CUST000876,47,0.2285,29
CUST000877,47,0.1178,29
CUST000878,47,0.2612,29
CUST000879,47,0.1175,29
CUST000880,47,0.1779,29
CUST000881,47,0.1357,29
CUST000882,47,0.1195,29
CUST000883,47,0.2707,29
CUST000884,47,0.1069,29
CUST000885,47,0.2638,29
CUST000886,47,0.1157,29
CUST000887,47,0.1291,29
CUST000888,47,0.11,29
CUST000889,47,0.2712,29
CUST000890,47,0.1051,29
CUST000891,47,0.116,29
CUST000892,47,0.1444,29
CUST000893,47,0.1189,29
CUST000894,47,0.1271,29
CUST000895,47,0.2172,29
CUST000896,47,0.0784,29
CUST000897,47,0.1073,29
CUST000898,47,0.1653,29
CUST000899,47,0.1194,29
CUST000900,47,0.2402,29
CUST000901,47,0.1729,29
CUST000902,47,0.2333,29
CUST000903,47,0.1001,29
CUST000904,47,0.2255,29
CUST000905,47,0.0929,29
CUST000906,47,0.3524,29
CUST000907,47,0.0997,29
CUST000908,47,0.1215,29
CUST000909,47,0.1429,29
CUST000910,47,0.1092,29
CUST000911,47,0.3743,29
CUST000912,47,0.11,29
CUST000913,47,0.0535,29
CUST000914,47,0.3996,29
CUST000915,47,0.3061,29
CUST000916,47,0.271,29
CUST000917,47,0.1525,29
CUST000918,47,0.2135,29
CUST000919,47,0.1126,29
CUST000920,47,0.1725,29
CUST000921,47,0.1199,29
CUST000922,47,0.2266,29
CUST000923,47,0.1033,29
CUST000924,47,0.1224,29
CUST000925,47,0.3809,29
CUST000926,47,0.1039,29
CUST000927,47,0.1785,29
CUST000928,47,0.1267,29
CUST000929,47,0.128,29
CUST000930,47,0.1247,29
CUST000931,47,0.2948,29
CUST000932,47,0.1069,29
CUST000933,47,0.1195,29
CUST000934,47,0.2796,29
CUST000935,47,0.494,29
